,IPCNum,content
601,G08C19/00,本发明 涉及 可 伸缩 的 登机 桥 的 一种 数据 和 能量 传输 系统 该桥 有 连接 在 第 1 结构 4 的 内段 2 和 连接 在 第 2 结构 5 的 外段 3 该 系统 有 沿着 可 伸缩 通道 1 的 内段 2 的 导电 轨道 6 连接 到 第 1 结构 4 和 至少 一个 用于 电气 连接 导电 轨道 6 与 第 2 结构 5 的 架式 导电 弓 机械 结构 7 它 与 所述 导电 轨道 6 永久 接触 并 随着 可 伸缩 通道 1 的 伸长 和 收缩 沿着 这样 的 轨道 滑动 另外 还有 数据传输 机构 连接 在 第 1 结构 4 和 第 2 结构 5
1100,F16H3/76,本发明 关于 机械传动 无级 变速 的 一种 无级 变速 方式 和 装置 由差 动轮 系 变速 机构 螺旋 传动 机构 组成 调速 机构 得到 的 调速 用 一个 差 动轮 系 实施 其 与 动力 转速 的 合成 转化 从而 实现 从 零至 任意 设计 高速 的 无级 变速 本发明 具有 设有 变速 时 的 冲击 振动 可以 一 某个 加速度 值 连续 平稳 的 正 加速 式 负 加速 可任意 中断 和 继续 加速 状态 不须 精确 熟练 的 控制 操作 可 用于 车辆 机械 飞机 船用 动力 变速 等
1661,B64D11/06,本 实用新型 涉及 航空 部件 技术 领域 尤其 是 一种 灵活 式 飞机 餐板 座椅 其 包括 座板 背板 头枕 桌架 和 桌板 背板 连接 在座 板上 头枕 和 桌架 连接 在 背板 上 桌板 连接 在 桌架 上 桌架 由 基架 主架 和 副 架 组成 桌板 由 母板 和 子板 组成 使用 时 乘客 可 根据 需要 拉动 主架 在 基架 内 滑动 通过 定位 珠 定位 以 调节 适合 自己 的 距离 同时 带动 子板 在 母板 内 滑动 以 延伸 桌板 与 身体 贴合 扩大 使用 面积 提高 空间 利用率 副 架上 套设 弹簧 滑动 连接 在 主架 内 以 提供 溃缩 空间 保证 子板 与 身体 的 接触 为 弹性 接触 防止 发生 碰撞 损伤 保护 乘客 安全
1398,F16D13/64,一种 环形 体 例如 制动 盘 其 具有 通常 在 中心 的 开口 所述 环形 体 包含 保持 在 碳 基质 中 的 层 至少 一个 表面 是 由 扇形 部分 组成 每个 扇形 部分 包含 许多 纤维 该 纤维 从 开口处 的 内 周边 通常 平行 地 延伸 至 环形 体 的 外 周边 上
1977,G08G5/02,本发明 公开 了 一种 无人机 起落 航线 编排 方法 根据 机场 的 地理位置 飞机 进场 定高 飞行高度 H 飞机 的 下滑 线 角度 λ 以及 航点 切换 距离 D 等 因素 确定 起落 航线 各 航点 将 起落 航线 2 点 和 3 点 布置 于 跑道 纵向 中心线 上 4 点 布置 于 沿 2 点到 3 点 方向 延长线 上 1 点 布置 于 沿 2 点到 3 点 方向 反向 延长线 上 0 点 和 5 点 布置 于 跑道 的 同 一侧 6 点 和 7 点 布置 于 跑道 端头 的 端线 与 跑道 纵向 中心线 的 交点 位置 可 实现 无人机 的 正 逆向 着陆 并 获得 高精度 的 跑道 方向 角 本发明 所 提出 的 方法 结构 简单 易于 实现 为 无人机 自主 起降 及 正 逆向 着陆 提供 解决方案 为 无人机 起降 时 地面 操控 提供 条件 为 实现 高精度 的 跑道 航向 角 计算 提供 依据 大大提高 了 无人机 起降 安全性
2395,F16F9/34,本发明 属于 飞机 起落架 维护 领域 涉及 起落架 泄压 装置 的 结构设计 具体 的 说 涉及 一种 起落架 缓冲器 泄压 装置 一种 起落架 缓冲器 泄压 装置 包括 用于 顶住 缓冲器 气嘴 阀门 的 顶 杆 与 用于 套装 在 气 嘴 外部 的 套筒 所述 顶杆 从 套筒 穿过 顶杆 的 外端 设有 旋柄 所述 旋柄 位于 套筒 的 外部 所述 套筒 的 表面 设有 泄压 通孔 该型 起落架 缓冲器 泄压 装置 结构 简单 使用方便 安全性 高 并且 具有 通用性 已 在 多 型飞机 起落架 维护 和 试验 中 得到 应用
67,B64C25/32,本发明 涉及 用于 管理 飞机 起落 装置 且 适用 于 伸出 缩进 可 缩进 起落架 使 可 转向 轮 转向 并 对 制动 轮 制动 的 系统 体系结构 根据 本发明 该 体系结构 包括 通信 网络 A B 连接 至该 通信 网络 的 有 伸出 缩进 执行机构 转向 执行机构 和 制动 执行机构 以及 适于 控制 连接 至该 网络 的 所有 执行机构 的 一个 或 多个 控制 单元 该 通信 网络 具有 适于 允许 控制 单元 为 控制 制动 执行机构 而 实现 防抱死 伺服 控制 的 传输 特性
2290,G08G1/16,一种 新型 的 防 碰撞 系统 提供 了 一种 集 卫星 定位 卫星 导航 RFID 技术 于 一体 的 一种 新型 的 防 碰撞 系统 包括 单片机 控制 模块 射频 通信 模块 卫星 导航 模块 液晶显示 模块 声光报警 模块 和 稳压电源 模块 基于 RFID 和 卫星 导航 技术 实现 移动 汽车 之间 的 相互 通信 通过 向 周围 车辆 报告 自身 精确 的 地理信息 并 获取 周围 移动 目标 发送 的 地理信息 实时 计算 获取 车辆 之间 的 距离 系统 方法 与 雷达 测距 等 其他 实现 方法 相比 具有 成本低 结构 简单 精准度 高等 优点 可 适用 于 轮船 汽车 火车 高铁 飞机 等 不同 的 领域
600,B64F1/36,本 实用新型 公开 了 一种 飞机 清水 车 保温 水箱 设有 清水 箱 其 特征 在于 清水 箱设 于 保温 壳体 内 保温 壳体 上 下面 设有 与 清水 箱 进水口 人孔 出水口 及泵室 接口 相配合 的 孔 保温 壳体 与 清水 箱上 下面 之间 设有 多个 支撑 柱 以 使 保温 壳体 与 清水 箱 之间 设有 贯通 气隙 保温 壳体 的 里 层 设有 保温层 保温 壳体 底面 设有 底座 保温 壳体 经 底座 与 汽车底盘 相连接 本 实用新型 由于 采用 上述 结构 具有 保温 效果 好 耐低温 使用方便 等 优点
767,B60N2/06,本 实用新型 公开 了 一种 多功能 座椅 它 包括 脚 支架 座垫 支架 和 靠背 支架 其 特点 是 在 座垫 支架 上 设有 下滑 道 在 下滑 道 上 设有 可 滑动 并 由 滑动 控制器 控制 的 上 滑道 在 上 滑道 上 设有 座垫 托架 在 靠背 支架 上 设有 与 座垫 托架 相连 的 靠背 托架 在 座垫 支架 两侧 设有 扶手 在 靠背 支架 背面 设有 活动 茶桌 和 可 翻转 的 清洁 箱 在 脚 支架 上 设有 脚蹬 本 实用新型 的 优点 是 结构设计 合理 功能齐全 可 广泛 适用 于车 船 飞机 和 任何 公共场所
212,B60M7/00,本 实用新型 前 伸式 气囊 电动 风扇 运输车 设计 成 外形 类似 宇航 飞船 车 前部 安装 一 飞机 头 形状 的 防撞 气囊 气囊 采用 不透气 的 复合 软膜 或 橡胶 制成 用 螺栓 加压 条 与 车体 紧密连接 也 可用 胶粘 在 车体 上 气囊 的 形式 可 作成 固定 的 或 可 伸缩 的 也 可 作成 彩色 透明 的 同时 充足 气体 车体 中部 为 乘员 室 车体 后部 两侧 设有 进 风道 各装 一 风扇 电机 风扇 电机 各 带动 一 推进 风扇 其 优点 在于 防撞 效果 好 制作 简单 可 用于 城市 单轨 交通系统 旅游 缆车 或 游乐场 所
272,B64F5/00,本 实用新型 公开 了 一种 外前 襟翼 定位器 用于 实现 翼 肋 蒙皮 长 桁 尾缘 条弱 刚度 零件 的 定位 夹紧 与 测量 定位器 结构合理 定位 稳定 极大 地 简化 了 装配工 装 的 结构 定位器 由 支臂 套筒 套筒 连接 法兰 定位 板 连接 法兰 连接 套筒 翼 肋 定位 板 安装 支座 组成 定位 板 连接 法兰 与 套筒 连接 法兰 通过 两个 定位 销 固定 使用 四根 螺栓 连接 连接 套筒 焊接 在 翼 肋 定位 板 中间 部位 支臂 套筒 固安 在 安装 支座 上 通过 采用 数字化 柔性 工装 实现 装配 飞机 外前 襟翼 零部件 的 定位 与 夹紧 装配 工艺 定位 功能 集成度 高 定位 连接件 易于 加工 定位 面大 可 实现 多个 零部件 的 同时 定位
1055,G08G5/00,本发明 涉及 一种 基于 SOA 的 航班 延误 波及 分析 与 预测 系统 及其 运作 方法 本发明 属于 民航 技术 领域 基于 SOA 的 航班 延误 波及 分析 与 预测 系统 包括 机场 数据 采集 前置 机 数据库 服务器 应用服务器 图形 服务器 Web 服务 计算 服务器 客户端 设备 和 网络通讯 系统 运作 方法 是 应用服务器 通过 机场 数据 采集 前置 机 获取 机场 实时 运行 数据 转换 为 XML 格式 的 预测 数据 后 传输 给 Web 服务 计算 服务器 处理 产生 的 预测 结果 回 传给 应用服务器 经过 加权 处理 后 生成 综合 预测 结果 并 存放 于 数据库 服务器 中 协作 生成 适当 格式 的 延误 预测 信息 返回 给 各 相应 的 预测 显示 客户端 本发明 具有 良好 的 开放性 和 互操作性 为 民航机场 航空公司 提供 了 有效 的 航班 大面积 延误 波及 分析 与 预警 功能
1908,G08C17/02,本 实用新型 涉及 一种 无线电 比例 遥控 设备 它 包括 一 无线电 发射机 及 一 接收机 和 一组 执行 舵机 所述 无线电 发射机 由 三个 空间 轴向 安装 的 半导体 角速度 传感器 三轴 地磁场 传感器 组成 所述 无线电 发射机 电路 通过 半导体 角速度 传感器 感知机 身 的 在 任一 轴向 的 旋转 角度 将 精确 的 角度 信息 作为 比例 操纵 的 操纵 量 以 无线电 信号 发射 出去 在 接收机 处 通过 执行 舵机 还原成 机械 角度 变化 从而 控制 遥控 飞行器 或车 船 的 控制 舵面 以及 其它 工业 设备 与 传统 遥控 设备 的 多 操纵杆 方式 相比 更 符合 有人 驾驶 飞机 的 操作 习惯 并且 操作 方式 直观 未经 训练 者 更易 掌握 这种 遥控器 内部 基本 没有 运动 机构 不 存在 机械 磨损 带来 的 误差 间隙 和 寿命 限制 不 需要 润滑 也 不受 机构 行程 约束
273,B64C3/44,本发明 提供 了 一种 翼面 可变 曲率 的 自 适应 机翼 其 与 所在 飞行器 的 操控 系统 连接 它 包括 下部 的 金属 机翼 骨架 ﹑ 设置 在 骨架 上 的 支撑 结构 机翼 的 上 翼面 设置 有 可 调整 曲面 机翼 内部 设置 有作动 装置 与 可 调整 曲面 连接 作动 装置 与 机翼 的 操控 系统 连接 这种 替代 了 传统 的 襟 副翼 结构 的 机翼 结构 及其 飞行器 的 操控 方式 可以 平衡 飞行器 高 低速 性能 通过 改变 机翼 上 翼面 曲率 调节 机翼 升力 以 适应 各种 飞行 情况
1603,G08C17/02,本 实用新型 公开 了 一种 实时 监测 飞机 安全性 的 装置 包括 机载 太阳能 供电系统 其 特征 在于 所述 机载 太阳能 供电系统 由 太阳能 电池 薄膜 板 太阳能 控制器 蓄电池 逆变器 DC 负载 组成 所述 太阳能 电池 薄膜 板 与 太阳能 控制器 电 联接 所述 太阳能 控制器 是 用于 控制 负载 用电 和 为 蓄电池 组 充电 所述 太阳能 控制器 包含 自动 切换 装置 及 系统监控 警报 装置 所述 太阳能 控制器 还 设置 有 监控 装置 用于 实时 监测 系统 的 运行 状态 和 数据 记录 本 实用新型 的 有益 效果 是 本 实用新型 采用 位移 传感器 进行 测量 具有 精度高 成本低 利用 太阳能 供电 设备 解决 了 设备 供电 问题
1664,B64F1/32,本发明 涉及 一种 飞机 集装 升降 平台车 在 平台车 的 尾端 部 设置 的 平台车 延长 段 在 平台车 延长 段 内 转动 安装 有 若干 平行 设置 的 滚筒 滚筒 的 轴线 沿着 平台车 的 宽度 方向 布置 在 平台车 延长 段 内 设有 驱动 马达 驱动 马达 的 输出 轴 通过 联轴器 与 滚筒轴 的 轴端 相连 在 平台车 延长 段 内 转动 安装 有 若干 排 履带 托 链轮 每排 履带 托 链轮 中 的 每个 履带 托 链轮 的 轴线 沿着 平台车 的 长度 方向 布置 在 每排 履带 托 链轮 外套 接 有 履带 在 平台车 延长 段 内 转动 安装 有 驱动 履带 的 驱动链 轮 在 平台车 延长 段 内 还 设有 履带 系统 的 升降 装置 本发明 具有 结构 简单 合理 适合 与 其他 车辆 之间 进行 对接 功能齐全 使用方便 等 优点
917,F16D3/16,本 实用新型 属于 联轴器 技术 领域 具体 涉及 对 传统 万向节 的 改进 是 由 伸缩 外 套筒 挠性 迭片 和 铰接 轴 组成 伸缩 外 套筒 的 截面积 为 正方形 套筒 内 横穿 一根 限位 销 挠性 迭片 的 左端 开有 一长 孔 通过 限位 销与 伸缩 外 套筒 联接 挠性 迭片 与 右侧 的 铰接 轴 通过 转轴 连接 挠性 迭片 是 由 抗锈 高弹性 钢片 冲压 成型 钢片 带有 自润滑 涂层 高弹性 钢片 弯成 “ U ” 形 “ U ” 形迭 片口 内 夹 一块 由 玻璃纤维 或 碳纤维 做成 的 复合材料 的 非金属 弹性 夹层 本 实用新型 具有 外形尺寸 小 传递 扭矩 大 具有 缓冲 能力 免去 润滑 步骤 工作 寿命长 的 优点 可 作为 汽车 摩托车 的 传动轴 飞机 的 螺旋桨 直升飞机 旋翼 和 发动机 或 桨 毂 的 连接 更是 适用 军用 越野车 的 非 转向 车轮 的 驱动 轴
2186,B64C39/06,本发明 涉及 一种 碟形 飞行器 它 包括 驾驶 仓 固定 底座 着陆架 机轮 发动机 和 控制 装置 在 驾驶 仓 与 固定 底座 的 连接处 形成 一 环形 凹槽 碟形 壳体 的 内环 套入 凹槽 内 在 碟形 壳体 上 对称 设有 两个 旋翼 旋翼 与 旋翼 开关 控制 装置 相连 发动机 通过 离合器 与 分动器 相连 分动器 的 第一 输出 轴 通过 锥形 齿轮 组与 碟形 壳 驱动 轴 相连 碟形 壳 驱动 轴上 端的 驱动 齿轮 与 碟形 壳体 内环 上 的 内齿 啮合 分动器 的 第二 输出 轴 通过 三节 等速 万向节 与 螺旋桨 轴 相连 螺旋桨 轴 与 螺旋桨 固连 在 固定 底座 内壁 上 设有 可 旋转 的 圆盘 圆盘 边缘 固连 的 轴承座 套装 在 螺旋桨 轴上 圆盘 通过 连杆 与 驾驶 仓内 的 圆盘 操作 杆 相连 本发明 操作 方便 能集 汽车 船舶 飞机 的 三种 功能 于 一身 实现 三栖 行进
30,G08G5/02,一种 基于 地面 的 精确 的 飞机 着陆 系统 提供 CATI 精确 的 进场 和 着陆 导航 通过 测量 飞机 的 ATCRBS 应答器 回答 的 微分 载波 相位 和 到达 时间 确定 飞机 的 高度 位置 应答器 回答 在 多个 检测器 天线 位置 被 接收 然后 被 传送 给 检测器 并 被 解调 和 数字化 数据 被 传送 给 中央处理器 进行 校准 和 多路 校正 通过 使 在 单个 的 检测器 天线 之间 测量 的 微分 相位 跳跃 相关 飞机 应答器 的 分集式 天线 处理器 转换 和 应答器 回答 多路 的 跳跃 以及 有色 噪声 隔离 分集式 天线 的 距离 的 估算 由 卡尔曼滤波 器 处理 保持 估算 的 距离 用于 校正 飞机 高度 的 微分 相位 测量 数据 校正 的 相位 测量 和 到达 时间 的 测量 利用 另 一个 卡尔曼滤波 器 处理 从而 达到 所 需 的 飞机 高度 定位精度 应用 类似 的 微分 载波 相位 和 到达 时间 子系统 实现 飞机 位置 的 方位角 测量 然后 使 组合 的 飞机 的 方位角 和 高度 和 所 需 的 进场 路径 比较 并 把 相对 于 所 需 的 进场 路径 的 飞机 位置 误差 通知 飞机
1433,F16K11/072,一种 气动 除冰 分配阀 10 包括 一 本体 12 一盖 组件 14 和 一 旋转 件 30 旋转 件 30 选择地 使输 入 接头 装置 18 与 许多 输出 接头 装置 20 之一 连通 以便 选择地 使 许多 除冰 装置 之一 加压 一 真空 接头 装置 24 使 所有 未 选择 的 输出 接头 装置 处于 真空 状 态
497,F16L1/00,本发明 的 实施 例 总体 上 涉及 用于 在 航空器 航空航天 飞行器 或者 其他 乘客 运输工具 上 的 氢 网络 的 可 移除 存储 它们 具体 地 涉及 使用 氢 网络 以便 支持 燃料电池 系统 的 这种 交通工具 更 具体 地 它 公开 了 用于 飞机 机载 应用 的 安装 在 手推车 或 支架 中 的 可 更换 的 氢 存储
664,B64D11/06,本 实用新型 涉及 一种 防洒 型飞机 餐板 该 餐板 包括 板体 和 置 杯口 板体 上 设有 置 杯口 板体 为 中空 矩形 板 板体 上 表面 设有 通孔 板体 上 表面 的 边沿 设有 档边 板体 上 表面 粘结 连接 有 橡胶 层 板体 的 中空 部分 设有 海绵体 该 餐板 能够 使 收纳 杯盘 内 洒出 的 大部分 液体 从而 减少 了 其 污染环境 的 范围 节约 了 成本 提高 了 功效
244,F16F7/00,本 实用新型 涉及 一种 用于 轻型 航空 电子设备 机箱 的 导向 装置 包括 导向 头和底 套筒 其 特征 在于 导向 头 呈 子弹 形 其 底部 开设 有 沿 轴向 的 沉孔 在 沉孔 内 放置 有 弹簧 在 沉孔 的 开口 部 设置 有 一 弹簧 套管 与 弹簧 底 相抵 在 导向 头 下部 外侧 套 有 一定 位套 定位 套 连同 导向 头 与 底 套筒 的 上部 固定 连接 在 底 套筒 内 设置 有 一根 导杆 导杆 沿 轴向 放置 导杆 底部 与 底 套筒 底 固定 连接 导杆 顶部 与 导向 头 的 沉孔 开口 部 的 弹簧 套管 固定 连接 本 实用新型 的 优点 是 箱体 和 导向 装置 之间 为 柔性 接触 对于 飞机 引起 的 箱体 振动 有 缓冲 的 作用 可以 减少 箱体 和 导向 装置 之间 的 摩擦 更 有利于 机箱 内部 电路板 的 工作
555,F16B39/02,本 实用新型 涉及 螺钉 技术 领域 尤其 是 一种 航空 飞机 防松 螺钉 包括 螺纹 杆 和 螺帽 螺纹 杆 与 螺帽 固定 连接 还 包括 具有 凸起 的 防 松球 螺帽 上 未 与 螺纹 杆 重合 的 部位 设有 与 防 松球 相匹配 的 轴向 通孔 通孔 靠近 前端 部分 设有 螺纹 孔内 设有 螺丝 螺丝 顶端 与 防 松球 固定 连接 防 松球 与 所述 通孔 滑动 连接 凸起 上 设有 导轨 通孔 的 内壁 上 设有 与 导轨 相匹配 的 轴向 凹槽 导轨 相对 凹槽 滑动 螺帽 上 设有 沉头 孔 沉头 孔 的 截面 为 内六角 螺丝 顶端 与 防 松球 焊接 本 实用新型 通过 在 螺帽 上 设有 可 控制 滑动 的 防 松球 卡到 被 连接 零部件 预设 好 的 圆形槽 中 起到 防止 螺钉 自转 防松 的 作用 本 实用新型 结构 简单 效果 明显 起到 非常 好 的 防松 作用
346,F16H33/02,动力 杠杆 增能 装置 是 专为 提升 原动力 为 目的 中 转增 能 装置 增能 靠 的 是 杠杆原理 4 根 杠杆 设计 在 受力 轮中 以轮 管上 的 轴 顶 为 杠杆 支点 以 弧形 推杆 为 阻力点 以 动力 机动力 作 力点 由于 动力 臂大过 阻力 臂 三倍 的 长度 大过 倍数 长度 根据 情况 调配 可大可小 杠杆 将 原动力 转换成 三倍 的 能量 输送到 应用 机械 此 装置 并 能 连续 增能 本 装置 用于 一切 动力机 增能 尤 优于 大型 运输工具 如 火车 轮船 飞机 等 更 宜于 连续 增能
125,F16L27/113,本发明 公开 一种 管路 自动 分离 接头 包括 第一 接头 和 第二 接头 第一 接头 安装 在 外挂 油箱 上 第二 接头 安装 在 飞行器 挂架 上 第一 接头 包括 伸缩 接嘴 高度 调节 螺母 衬套 I 限位 螺钉 密封圈 I 和 密封圈 II 转动 所述 高度 调节 螺母 伸缩 接嘴 可 上升 或 下降 第二 接头 包括 滑动 接嘴 行程 调节 螺母 衬套 II 弹簧 和 橡胶 卡圈 行程 调节 螺母 用于 调节 滑动 接嘴 的 行程 第二 接头 与 所述 第一 接头 连接 本发明 公开 的 一种 管路 自动 分离 接头 具有 补偿 功能 不 受 外挂 油箱 与 飞机 挂架 的 间隙 误差 及 位置 误差 影响 接头 采用 柔性 连接 可 承受 使用 中 振动 冲击 及 变形 的 影响 连接 牢固 可靠性 高 接头 可 快速 自动 分离 不卡滞
1949,B60N2/005,本发明 涉及 一种 陆海空 交通 座椅 更 确切 地 说 是 一种 带有 防震 装置 的 无 颠震 倾斜 感 的 陆海空 交通 座椅 该 座椅 由 一根 人字形 的 弹性 绳索 固定 在 一种 防震 器上 并 通过 防震 器 固定 在 汽车 轮船 或 飞机 的 座椅 吊架 上 该 座椅 可 消除 乘客 在 交通 中 产生 的 颠簸 倾斜 和 震动 的 现象 可以 免除 乘客 在 交通 中昏车 昏船 和 昏机
395,G08G5/00,本发明 涉及 具有 改进 态势 感知 的 飞机 监测 提供 了 用于 监测 飞机 120 的 装置 方法 和 系统 一种 示例 性 方法 涉及 处于 地面 位置 的 处理 系统 112 获取 与 由 飞机 120 机载 的 检测 系统 138 辨识 的 第一 区域 相关 的 第一 信息 获取 与 由 耦合 至 处理 系统 112 的 外部 系统 116 辨识 的 第二 区域 相关 的 第二 信息 以及 显示 与 飞机 120 相关 的 飞行 追踪 图像 所述 飞行 追踪 图像 包括 第一 区域 的 第一 图形 表示 406 以及 第二 区域 的 第二 图形 表示 306 所述 方法 通过 下述 操作 而 继续 捕捉 在 处于 地面 位置 的 显示装置 108 上 显示 的 飞行 追踪 图像 的 至少 一部分 以及 将 所 捕捉 的 飞行 追踪 图像 传输 到 飞机 120 以 在 机载 显示装置 122 上 后续 呈现
1114,F16L11/04,本 申请 涉及 一种 混合 构件 和 一种 对此 的 制造 方法 提出 的 混合 构件 包括 基体 2 所述 基体 具有 至少 一个 构成 为 由 塑料 泡沫 和 纤维 复合 塑料 制成 的 层压 层 3 的 区段
1885,F16H37/12,一种 能 均匀 地 把 动力 分成 两路 并 使 上 下 主动 锥齿轮 均衡 受力 的 天平 摇臂 机 抅 是 用于 反 方向 旋转 的 同轴 双 旋翼 直升飞机 主 减速器 苐 一级 并车 换向 级 该机 抅 不仅 能 大大 减轻 锥齿轮 的 负荷 而且 能 使 从动 锥齿轮 消除 轮齿 共振 所以 本 机构 虽然 复杂 一点 但 能 使 构件 受力 均衡 重量 减轻 寿命 增加 减速器 整体 布局合理
2,F16K1/44,一些 排水阀 倾向 于 被 可 冻住 的 水 充满 由此 可 阻塞 阀 本发明 提供 一种 飞机 排水阀 1 包括 通道 11 轴 9 第一 密封件 13 和 第二 密封件 15 轴 9 可 在 打开 位置 和 关闭 位置 之间 移动 在 打开 位置 第一 和 第二 密封件 设置 成 允许 流体 自由 流过 通道 11 在 关闭 位置 中 第一 和 第二 密封件 设置 成 阻止 流体 自由 流过 通道 由此 防止 流体 进入 第一 和 第二 密封件 13 15 之间 的 区域 内 因此 可 阻止 水 收集 在阀 靠近 油箱 3 的 冷箱 壁 的 部分 内 或 在 该 部分 内 冻住
2261,B64D45/00,本发明 公开 了 一种 预防 飞机 空中 失控 撞山 冲海 的 装置 其 特征 是 由 设置 在 机翼 下 的 主 迎风 板 和 背风 板 组成 主 迎风 板 与 机翼 前梁 固定 连接 背风 板 下部 与 主 迎风 板 下部 以 一定 角度 活动 连接 本发明 的 优点 是 能 在 飞机 失控 时 避免 头 重尾轻 撞山 冲海 避免 严重 的 空难 事故
777,F16K11/14,一种 具有 温度 调节 功能 的 空气 混合 分配 装置 包括 壳体 连杆 大 摇臂 小 摇臂 I 小 摇臂 II 转轴 螺栓 阀门 片 I 阀门 片 II 阀门 片 III 连杆 大 摇臂 小 摇臂 I 小 摇臂 II 和 壳体 上 转轴 组成 一个 平行 摇轴 连杆机构 摇动 大 摇臂 时 通过 平行 摇轴 连杆机构 可 联动 控制 阀门 片 在 各自 的 管道 内绕 各自 的 转轴 转动 当 排气 路 阀门 片 I 和 冷气 路 阀门 片 III 与 自己 的 管道 轴线 夹角 10 ° < α < 80 ° 时 这时 热气 路 阀门 片 II 与 热气 路 管道 轴线 夹角 β = 90 ° - α 冷 热空气 处于 混合 状态 控制 夹角 α 的 大小 可 控制 冷 热空气 的 混合 比 该 装置 提高 了 飞机 通风 系统 的 通风 能力 并 扩大 了 温度 调节 范围 提高 座舱 新鲜空气 流通量 增强 了 座舱 环境 的 舒适性
1355,F16H7/06,一种 靠 体重 驱动 的 人力 交通工具 包括 一种 输入 轴 和 输出 轴 平行 放置 能 使 输入 轴 摆动 变为 输出 轴 单向 旋转 的 承泽 驱动 机构 取代 现行 的 曲柄 链轮 和 链条 的 驱动 机构 该 人力 交通工具 具有 显著 地 增加 驱动力 和 提高 车速 使人 的 体能 消耗 较现 驱动 方式 大大 减小 而且 所有 传动件 均 在 很小 的 封闭 体内 结构 简单 紧凑 传动 效率高 防尘 防水 润滑 充分 维护 简便 使用寿命 长 它 是 现行 人力 驱动 交通工具 的 一种 替代 产品
2340,F16H37/00,本 创造 将 运载 机械 驱动 中 推力 由小到大 由慢 到 快 功率 倍 大于 运载 自重 加 载重 通常 需要 传动 中受 各档 齿轮 啮合 比所 限定 传动 中 不能 储存 多余 能量 并 可 再 用 等 超量 耗能 与 过分 鲁蛮 的 力量 特征 通过 “ 机造 气功 ” 传动 含驾控 机构 替换 现有 传动 机构 以 空气压缩 及 压缩 后 可 爆发性 施放 用于 驱动 的 原理 矫正 了 上述 力量 特征 一举 达到 了 奇效 节能 汽车 飞机 节能 至少 50 的 目的 并且 将 其 所得 的 大量 压力 空气 冲开 特大 的 运载 机械 外置 气囊 又 正好 达到 了 特效 保险 防碰 防 摔 防溺 防火 的 目的
2167,B60K25/00,节能 环保 交通系统 核心 是 阻力 非常 小 非常 节能 非常适合 较 长距离 高速度 道路 行驶 也 适合 飞行 的 飞行 汽车 及其 道路 系统 可以 用于 列车 电摩 自行车 飞机 汽车 等等 交通工具 的 改进 改造 本发明 采用 斜流 风扇 推动 气流 向斜 后方 流动 采用 把 斜流 风扇 置于 凸形 前 表面 的 交通工具 前面 使 空气 尽可能 不 与 交通工具 迎风 面 碰撞 从而 减少 了 空气 对 交通工具 的 阻力 空气 不 与 交通工具 碰撞 就 不会 使 交通工具 损失 能量 由于 交通工具 前面 的 高速 气流 还会 形成 非常低 的 迎面 压力 再 在 交通工具 后面 采用 扩压 装置 可以 使 交通工具 后面 的 压力 大于 前面 大大降低 交通工具 的 阻力 还 采用 立体 全 互通 立交桥 多层 交通 层 可以 解决 城市 的 交通拥堵 问题
1918,G08G5/00,本发明 公开 了 一种 飞机 当前 位置 预估 方法 首先 计算 得到 飞机 当前 行程 占 全程 距离 的 百分比 然后 得到 飞机 当前 的 经纬度 最后 在 地图 上 确定 离 飞机 最近 的 一个 城市 本发明 使 民航 数据 查询 系统 能够 有效 而 准确 地 显示 出 飞机 当前 的 位置 信息 满足 了 关心 飞机 当前 位置 人群 的 需求 提高 了 民航 数据 查询 系统 的 性能
174,B60R99/00,本 实用新型 提供 了 一种 移动式 交通工具 在 移动式 交通工具 中 在 其 外壳 罩体 的 外表 面上 设置 有 预定 面积 的 雾 霾 吸附 材料 涂层 和 或 在 其 上 朝向 前进方向 的 位置 设置 有 进气 通道 进气 通道 中 设置 有雾 霾 吸附 材料 涂层 本 实用新型 颠覆 了 本 领域 技术人员 的 观念 在 移动式 交通工具 的 外壳 罩体 的 外表 面上 或者 进气 通道 中 设置 雾 霾 吸附 材料 涂层 这样 无论 是否 处于 刮风 状态 移动式 交通工具 在 使用 时能 在 各 地理位置 充分 吸附 雾 霾 颗粒 当 吸附 量 达到 一定 程度 后 可 对 涂层 表面 进行 冲洗 这样 既 不 影响 移动式 交通工具 的 尺寸 及 行驶 安全 也 不会 显著 增加 经济 成本 并 极易 维护 而且 极易 在 各种 移动式 交通工具 上 广泛 使用 从而 能 有效 提高 雾 霾 事后 治理 的 效果
